[2024-01-16 19:19:09] 
User Access Verification

****************************************************************
**  EPON OLT Integrated Operating System.                     **
**  Device Model     : FD1304E                                **
**  Hardware version : V1.1                                   **
**  Firmware version : V3.2.3_240102                          **
**  BuildDate        : Tue, 02 Jan 2024 17:42:09 +0800        **
**  Mac Address      : E0:67:B3:AF:52:0C                      **
****************************************************************
User name:root
Password: *****
FD1304E> en
FD1304E# config
FD1304E(config)#[2024-01-16 19:19:09]  interface epon 0/1[2024-01-16 19:19:19] 
FD1304E(config-epon-0/1)#   2024-01-16 19:20:27   PON  0/1/2 Loss of signal(LOS)
shutdown 2
FD1304E(config-epon-0/1)#   2024-01-16 19:20:28   PON 0/1/2 ONU 52 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 52: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 46 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 46: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 4 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 4: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 61 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 61: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 22 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 22: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 53 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 53: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 37 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 37: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 35 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 35: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 23 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 23: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 27 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 27: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 55 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 55: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 38 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 38: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 59 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 59: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 56 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 56: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 8 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 8: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 58 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 58: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 43 Loss of signal for ONU(LOSi)
  2024-01-16 19:20:28   PON 0/1/2 ONU 43: The ONT offline
  2024-01-16 19:20:28   PON 0/1/2 ONU 63 Loss of signal for ONU(LOSi)
